Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index
2019-03-05,125.916,378.8656,118.8975,16086.54,14.74,63.523,-0.11029,-0.29025,3.5,-0.5812,-0.18,0.95,119.55418276702132,182.33295742178163,112.40836038368376
2019-03-06,126.3847,383.8658,119.6869,16092.07,15.74,61.46,-0.12076,-0.2888,3.5,-0.6059,-0.18,0.95,119.53144492694224,181.99641350878568,112.32433057164204
2019-03-07,127.3296,393.7993,120.799,16056.51,16.59,57.31,-0.113,-0.28001,3.5,-0.6909,-0.18,0.95,119.48069371955735,181.46093725840961,112.22603218732925
2019-03-08,128.3306,402.0827,121.9761,15996.21,16.05,56.434,-0.09959,-0.26459,3.5,-0.7285,-0.14,0.95,119.42418450308918,180.94432072644867,112.11505671691361
2019-03-11,128.2889,396.6652,121.2475,16106.24,14.33,59.506,-0.07268,-0.26326,3.5,-0.6136,-0.14,0.95,119.4094370332687,181.31071524687226,112.18193311398826
2019-03-12,127.8804,393.2751,120.2454,16136.66,13.77,54.541,-0.07958,-0.35236,3.5,-0.6136,-0.14,0.95,119.44530897091136,181.47122766326487,112.28918854028896
2019-03-13,127.3372,384.9433,120.3189,16149.97,13.41,57.28,-0.06617,-0.39601,3.5,-0.5687,-0.14,0.95,119.51785659036251,181.85825806832045,112.26486466904615
2019-03-14,126.9425,383.1479,119.8429,16087.55,13.5,60.26,-0.07451,-0.36732,3.5,-0.5692,-0.14,0.95,119.52158699886323,182.0966378181913,112.29934358116246
2019-03-15,127.0067,384.9064,119.412,16140.35,12.88,56.946,-0.09124,-0.36548,3.5,-0.585,-0.21,0.95,119.50569098686715,182.03638069084772,112.35526809821464
2019-03-18,126.3928,380.8919,118.3156,16251.37,13.1,57.521,-0.09527,-0.36366,3.5,-0.5859,-0.21,0.95,119.5634734847226,182.19755572738904,112.45019937129554
2019-03-19,125.8437,378.871,117.8259,16188.1,13.56,56.619,-0.10187,-0.36184,3.5,-0.6042,-0.21,0.95,119.61658061570952,182.39887349730458,112.48824487844719
2019-03-20,126.253,383.1784,118.6691,16167.56,13.91,50.525,-0.10136,-0.36003,3.5,-0.6042,-0.21,0.95,119.56704149689112,182.04963309382237,112.42286022563901
2019-03-21,125.8283,377.0628,117.563,16244.59,13.63,49.989,-0.07721,-0.35823,3.5,-0.5918,-0.21,0.95,119.61899537856236,182.38755560094594,112.53735296817155
2019-03-22,126.4492,390.0727,117.7597,16089.33,16.48,42.128,-0.01079,-0.35644,3.5,-0.5596,-0.18,0.95,119.61592750002565,181.67824052427693,112.53513672503648
2019-03-25,126.7423,398.5915,118.2594,16065.86,16.33,41.426,-0.01098,-0.35466,3.5,-0.5596,-0.18,0.95,119.60453739785582,181.18450590108847,112.5107810679129
2019-03-26,126.6149,397.8199,117.4231,16155.16,14.68,41.196,-0.06079,-0.38013,3.5,-0.5751,-0.18,0.95,119.61943784972839,181.4174143017313,112.5947451160634
2019-03-27,126.8604,398.8572,118.3351,16132.53,15.15,38.029,-0.02884,-0.37823,3.5,-0.5751,-0.18,0.95,119.62060639724925,181.26185518608685,112.5476187115953
2019-03-28,126.744,397.8262,118.4066,16155.49,14.43,39.951,-0.01511,-0.37948,3.5,-0.5517,-0.18,0.95,119.61909658207372,181.4376543353653,112.55277898492854
2019-03-29,126.2802,387.3935,118.4511,16102.09,13.71,41.8,-0.01449,-0.5312,3.5,-0.514,-0.17,0.95,119.6306726162761,181.96969528751572,112.59671912886567
2019-03-31,126.2802,387.3935,118.4511,16102.09,13.71,41.8,-0.01449,-0.5312,3.4,-0.514,-0.17,1.0,119.6306726162761,181.96969528751572,112.59671912886567
